Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_WebUI,Chrome 70.0.3538.77,,2018-11-02 17:14:11,2018-11-02 17:16:04,1m - 53.029s,ERROR
,,,,,,
Test Cases/Features/WEB/Main/WTC_LOG-001-Login successful,Chrome 70.0.3538.77,,2018-11-02 17:14:16,2018-11-02 17:15:03,46.869s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-02 17:14:16,2018-11-02 17:14:16,0.016s,PASSED
Start setup action : SetUp,Chrome 70.0.3538.77,,2018-11-02 17:14:16,2018-11-02 17:14:45,28.605s,PASSED
"Statement - For ([i = 1, i <= _totalRow, (i++)])",Chrome 70.0.3538.77,Loop around to run script,2018-11-02 17:14:45,2018-11-02 17:14:58,13.526s,PASSED
Start tear down : TearDown,Chrome 70.0.3538.77,,2018-11-02 17:14:58,2018-11-02 17:15:00,1.495s,PASSED
Start listener action : sampleAfterTestCase,Chrome 70.0.3538.77,,2018-11-02 17:15:00,2018-11-02 17:15:03,3.160s,PASSED
,,,,,,
Test Cases/Features/WEB/Main/WTC_LOG-002-Access to Features,Chrome 70.0.3538.77,,2018-11-02 17:15:03,2018-11-02 17:15:49,46.252s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-02 17:15:03,2018-11-02 17:15:03,0.009s,PASSED
Start setup action : SetUp,Chrome 70.0.3538.77,,2018-11-02 17:15:03,2018-11-02 17:15:39,35.958s,PASSED
"Statement - For ([i = 1, i <= _totalRow, (i++)])",Chrome 70.0.3538.77,Loop around to run script,2018-11-02 17:15:39,2018-11-02 17:15:45,6.142s,PASSED
Start tear down : TearDown,Chrome 70.0.3538.77,,2018-11-02 17:15:45,2018-11-02 17:15:47,1.598s,PASSED
Start listener action : sampleAfterTestCase,Chrome 70.0.3538.77,,2018-11-02 17:15:47,2018-11-02 17:15:49,2.527s,PASSED
,,,,,,
Test Cases/Features/WEB/Main/WTC_LOG-003-Test Case FAILED,Chrome 70.0.3538.77,,2018-11-02 17:15:49,2018-11-02 17:15:58,9.286s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-02 17:15:49,2018-11-02 17:15:49,0.016s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-02 17:15:49,2018-11-02 17:15:53,4.044s,PASSED
"Statement - com.kms.katalon.core.util.KeywordUtil.markError(""ERROR test case"")",Chrome 70.0.3538.77,,2018-11-02 17:15:53,2018-11-02 17:15:53,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 70.0.3538.77,,2018-11-02 17:15:53,2018-11-02 17:15:58,5.131s,PASSED
,,,,,,
Test Cases/Features/WEB/Main/WTC_LOG-004-Test Case ERROR,Chrome 70.0.3538.77,,2018-11-02 17:15:58,2018-11-02 17:16:04,5.602s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-02 17:15:58,2018-11-02 17:15:58,0.003s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-02 17:15:58,2018-11-02 17:16:01,3.002s,PASSED
"Statement - com.kms.katalon.core.util.KeywordUtil.markFailed(""FAILED test case"")",Chrome 70.0.3538.77,,2018-11-02 17:16:01,2018-11-02 17:16:01,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 70.0.3538.77,,2018-11-02 17:16:01,2018-11-02 17:16:04,2.539s,PASSED
