Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS-Dropdown,IE 11,,2019-02-25 22:12:04,2019-02-25 22:14:21,2m - 16.062s,PASSED
,,,,,,
Test Cases/Dropdown AngularJS,IE 11,,2019-02-25 22:12:05,2019-02-25 22:14:20,2m - 15.839s,PASSED
"openBrowser(""https://material.angularjs.org/latest/demo/select"")",IE 11,Open AngularJS page that tagname of dropdown is md-select,2019-02-25 22:12:05,2019-02-25 22:12:10,4.989s,PASSED
maximizeWindow(),IE 11,,2019-02-25 22:12:10,2019-02-25 22:12:10,0.089s,PASSED
"kms.AngularJS.selectAllOption(findTestObject(""Md-Option/cbo_CheckboxOptionHeader""), true)",IE 11,Select All items: Select Header section,2019-02-25 22:12:10,2019-02-25 22:12:22,11.780s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_CheckboxOptionHeader""), ""Corn, Onions, Kale, Arugula, Peas, Zucchini"")",IE 11,,2019-02-25 22:12:22,2019-02-25 22:12:22,0.260s,PASSED
"kms.AngularJS.selectOptionByIndex(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), ""2-5"", true)",IE 11,Select Checkbox items by Index from 2 to 5: Option Groups section,2019-02-25 22:12:22,2019-02-25 22:12:32,9.589s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), ""Sausage, Ground Beef, Bacon, Mushrooms"")",IE 11,,2019-02-25 22:12:32,2019-02-25 22:12:32,0.206s,PASSED
"kms.AngularJS.selectOptionByIndex(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), ""3,4"", false)",IE 11,Deselect Checkbox items by Index : 3 and 4: Option Groups section,2019-02-25 22:12:32,2019-02-25 22:12:39,7.284s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), ""Sausage, Mushrooms"")",IE 11,,2019-02-25 22:12:39,2019-02-25 22:12:39,0.197s,PASSED
"kms.AngularJS.selectOptionByIndex(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), 5, false)",IE 11,Deselect Checkbox item by Index at 5: Option Groups section,2019-02-25 22:12:39,2019-02-25 22:12:45,5.954s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), ""Sausage"")",IE 11,,2019-02-25 22:12:45,2019-02-25 22:12:45,0.167s,PASSED
"kms.AngularJS.selectOptionByName(findTestObject(""Md-Option/cbo_CheckboxOptionHeader""), ""Kale,Peas"", false)",IE 11,"Deselect Checkbox items by Name: Kale,Peas: Select Header section",2019-02-25 22:12:45,2019-02-25 22:12:52,7.036s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_CheckboxOptionHeader""), ""Corn, Onions, Arugula, Zucchini"")",IE 11,,2019-02-25 22:12:52,2019-02-25 22:12:53,0.280s,PASSED
"kms.AngularJS.selectOptionByIndex(findTestObject(""Md-Option/cbo_State""), 4)",IE 11,Select items by Index at 4: Basic Usage/Account Preferences section,2019-02-25 22:12:53,2019-02-25 22:12:58,5.236s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_State""), ""AZ"")",IE 11,,2019-02-25 22:12:58,2019-02-25 22:12:58,0.217s,PASSED
"kms.AngularJS.selectOptionByName(findTestObject(""Md-Option/cbo_Armor""), ""Plate"")",IE 11,Select items by Name: Plate: Basic Usage/Battle Preferences section,2019-02-25 22:12:58,2019-02-25 22:13:03,4.870s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_Armor""), ""Plate"")",IE 11,,2019-02-25 22:13:03,2019-02-25 22:13:03,0.191s,PASSED
